source,target
Glorieta de los Cuatro Caminos,Santa Engracia 87
Paseo de la Florida,Antonio López
Plaza de Pedro Zerolo,Avenida de los Toreros
Plaza de Pedro Zerolo,Avenida de los Toreros
Plaza del Encuentro,Avenida Donostiarra
Plaza de San Francisco,San Hermenegildo
Segovia 45,Plaza de Nelson Mandela
Menéndez Pelayo,Alcalá
Colegio Arquitectos,Bravo Murillo 44
Quevedo,Puerta del Ángel Caído
Castellana frente a Hermanos Pinzón,Arcipreste de Hita B
Caramuel,Plaza de Lavapiés
Entrada Matadero,Paseo de la Florida
Puerta de Madrid,Conde de Casal
Juan Bravo 50,Antonio Maura
José María Pereda,Alcántara
Paseo de la Florida,Santa Isabel
Santo Domingo,Embajadores 2
Caramuel,Marqués de Vadillo
Caramuel,Huertas
Santa Engracia 87,Parque Santander
Glorieta de Cádiz,Plaza de los Carros
Paseo de la Florida,Calle Mayor
Pirámides,Entrada Matadero
Jacinto Benavente,Caramuel
General Pardiñas,Avenida Donostiarra
Plaza de San Miguel,Santa Isabel
Espalter,Marqués de Corbera 12
Avenida Donostiarra,Juan Bravo 50
Entrada Matadero,Paseo de la Florida
Francos Rodríguez,Galileo
Segovia 45,Plaza de la Cebada
Plaza de la Cebada,Casa Encendida
Puerta de Toledo,Santa Isabel
Conde de Romanones,Puerta del Doce de Octubre
Prosperidad,Casa Encendida
San Germán 57,Castellana 164
Camino Vinateros,Gutierre de Cetina
Puerta de Toledo,San Quintín
Guzmán el Bueno,Plaza de la Independencia
Velázquez 130,San Bernardo
Guzmán el Bueno,Plaza de la Independencia
Sainz de Baranda,Plaza de Felipe II
Puente de Vallecas,Plaza de Lavapiés
Cuatro Caminos 2,San Bernardo
Puerta de Toledo,Quevedo
Prosperidad,Avenida Donostiarra
Segovia 45,Plaza de San Miguel
Plaza de Felipe II,Plaza de los Astros
Puerta del Ángel,Santa María de la Cabeza
Ermita Santo,Puerta de Toledo
Mártires Concepcionistas,Plaza de las Salesas
Beata,Santa María de la Cabeza
Carlos Cambronero,Fernando el Católico
Ribera de Curtidores,San Hermenegildo
Ribera de Curtidores,Plaza de los Carros
Plaza de la Independencia,Plaza de San Ildefonso
Segovia 45,Jacometrezo
Conde Duque,Parque Santander
Jacinto Benavente,Museo Reina Sofía
Santa Isabel,Puerta del Doce de Octubre
Carlos Cambronero,Santa María de la Cabeza
Palacio de Oriente,Ermita Santo
Ribera de Curtidores,Jaime el Conquistador
Segovia 45,Paseo de la Esperanza
Doctor Arce 45,Quevedo
San Germán 57,Santa Engracia 127
Plaza de Felipe II,Menéndez Pelayo
Fernando el Católico,Ventura Rodríguez
Francos Rodríguez,Santa Engracia 87
Ventas,Prosperidad
Segovia 45,Plaza de los Carros
Colegio Arquitectos,Cea Bermúdez
Avenida de los Toreros,Hortaleza
Marqués de Zafra,Parque Roma
Parque Santander,José Abascal
Doce de Octubre,Plaza de Felipe II
Menéndez Pelayo,Plaza de Felipe II
Plaza de Lavapiés,Jacinto Benavente
Plaza de Lavapiés,Augusto Figueroa
Pedro Bosch,Ronda de Atocha
Antón Martín,Augusto Figueroa
Serrano,Tres Cruces
Quevedo,Orense 12
Doce de Octubre,Plaza de Felipe II
Santa Engracia 127,Orense 12
Doce de Octubre,C.D. Concepción
Parque Santander,Cuatro Caminos 2
Ermita Santo,Antonio López
Quevedo,Orense 12
Jacinto Benavente,Segovia 45
Glorieta de los Cuatro Caminos,Santo Domingo
Plaza de San Miguel,Segovia 45
Glorieta de los Cuatro Caminos,Plaza de las Salesas
Menéndez Pelayo,Palacio de Deportes
Puente Praga,Ribera de Curtidores
Calle Mayor,Paseo Imperial
General Martínez Campos ,Niño Jesús
Glorieta de los Cuatro Caminos,Barceló
Menéndez Pelayo,Jacinto Benavente
Glorieta de los Cuatro Caminos,Barceló
Plaza de la Independencia,Gutierre de Cetina
Marqués de Vadillo,Santa María de la Cabeza
Fernando el Católico,Santa Isabel
Embajada de Italia,Manuel Silvela
Cuatro Caminos 2,Remonta
Plaza de la Cebada,Pirámides
Jacometrezo,Plaza de San Francisco
Paseo de la Esperanza,Plaza de la Cebada
Paseo de la Esperanza,Calle Mayor
Paseo de la Castellana con Raimundo Fernández,Diego de león
Retiro-Ibiza,Puerta de Granada
Marqués de Corbera 12,Avenida Donostiarra
Glorieta de Cádiz,Caramuel
Agustín de Betancourt,Santa Engracia 87
Ciudad Universitaria 2,Fernando el Católico
Castelló,Puerta del Ángel Caído
Plaza de San Francisco,Plaza de Lavapiés
Velázquez 130,General Álvarez de Castro
Plaza de la Cebada,Paseo de la Florida
Concordia,Méndez Álvaro
Calle Mayor,Plaza de San Francisco
San Bernardo,Quevedo
Plaza de los Carros,Quevedo
Santa María de la Cabeza,Ermita Santo
Puerta de Mariano de Cavia,Retiro-Ibiza
Paseo de la Florida,Paseo Imperial
Santa María de la Cabeza,Plaza de la Cebada
Plaza de Lavapiés,Antón Martín
Fernando el Católico,Carlos Cambronero
Plaza de la Cebada,San Vicente Ferrer
Puerta del Ángel,Jesús y María
Puente Praga,San Andrés
Plaza del Encuentro,Camino Vinateros
General Pardiñas,Derechos Humanos
General Álvarez de Castro,Barceló
Fernando el Católico,Altamirano
Antón Martín,Beata
Plaza de los Astros,Puerta de Granada
Antonio Maura,Plaza de la Cebada
Embajadores 2,Glorieta de Cádiz
Camino Vinateros,Marroquina
Plaza de San Francisco,Entrada Matadero
Junta Municipal Retiro,General Pardiñas
Rubén Darío,Plaza de San Ildefonso
San Vicente Ferrer,Velázquez
Jacinto Benavente,Puerta del Ángel
Ermita Santo,Paseo de la Esperanza
Plaza de la Cebada,Miguel Moya
Quevedo,Glorieta de los Cuatro Caminos
Puente Praga,Antón Martín
Santa Engracia 87,Parque Santander
Puerta del Ángel,Jacinto Benavente
Sevilla,Ayala
Castelló,Puerta del Ángel Caído
Estrecho,San Andrés
Fernando el Católico,San Bernardo
Plaza de Pedro Zerolo,Sor Ángela de la Cruz
Guzmán el Bueno,Avenida Donostiarra
Espalter,Alcántara
Fernando el Católico,Parque Santander
Glorieta de los Cuatro Caminos,Colegio Arquitectos
Puerta de Granada,Velázquez
Parque Roma,Marqués de Corbera 12
Doce de Octubre,Plaza de Lavapiés
Plaza de Lavapiés,Junta Municipal Retiro
Puerta de Toledo,Marqués de Vadillo
Puerta del Ángel,Ermita Santo
Plaza de las Salesas,Conde de Romanones
Alonso Martínez,Francos Rodríguez
José María Pereda,Mártires Concepcionistas
Segovia 45,Plaza de la Provincia
Ermita Santo,Santa María de la Cabeza
Junta Municipal Retiro,Méndez Álvaro
Altamirano,Fuencarral
Paseo de la Castellana con Raimundo Fernández,Barceló
San Bernardo,Quevedo
Agustín de Betancourt,Santa Engracia 14
Prosperidad,Paseo de la Castellana con Raimundo Fernández
Fernando el Católico,Plaza de Pedro Zerolo
Paseo de la Florida,Madrid Río-Yeserías
Caramuel,Santo Domingo
Colegio Arquitectos,Cea Bermúdez
Camilo José Cela,Conde Peñalver
Plaza de la Cebada,Santo Domingo
Ribera de Curtidores,Puerta de Toledo
Plaza de los Astros,San Delfín
Madrid Río-Yeserías,Ermita Santo
Glorieta de Cádiz,Paseo de las Delicias
Marqués de Vadillo,Plaza de Nelson Mandela
Plaza de la Independencia,Gutierre de Cetina
Plaza del Cordón,Caramuel
Puerta del Ángel Caído,General Álvarez de Castro
Serrano,Tres Cruces
Jaime el Conquistador,Delicias
Batalla del Salado,Plaza de la Cebada
Ayala,San Bernardo
Santa Engracia 127,Plaza de San Ildefonso
San Germán 57,Parque Santander
Puente de Ventas,Ayala
Pavones,Marqués de Corbera 52
Ronda de Atocha,Carlos Cambronero
San Delfín,Casa Encendida
Santa María de la Cabeza,Paseo de la Florida
Plaza de Nelson Mandela,Paseo de la Florida
Embajadores 1,Jacinto Benavente
Alonso Martínez,José Abascal
Antón Martín,Marqués de la Ensenada
General Pardiñas,Junta Municipal Retiro
Junta Municipal Retiro,Sainz de Baranda
Conde de Casal,Puerta del Doce de Octubre
Paseo de Moret,Juan Bravo 50
Plaza de Felipe II,Cartagena
Marqués de Zafra,Avenida de los Toreros
Puente Praga,Marqués de Vadillo
Quevedo,Hospital Clínico
Plaza de San Ildefonso,Fernando el Católico
Quevedo,Hospital Clínico
Cibeles,General Pardiñas
Avenida de los Toreros,Alonso Martínez
Conde de Romanones,Caramuel
Santo Domingo,Columela
Plaza de la Cebada,Ferraz
Avenida de América 2,Ronda de Atocha
Estrecho,Fuencarral
Guzmán el Bueno,Alonso Martínez
Plaza de Santa Ana,Puerta del Ángel
Madrid Río-Yeserías,Ribera de Curtidores
Marqués de Vadillo,Puente Praga
Puerta de Granada,Metro Pirámides
Glorieta de los Cuatro Caminos,Santa Engracia 87
Santa Engracia 14,Glorieta de los Cuatro Caminos
Reina Victoria,Fernando el Católico
Beata,Santa María de la Cabeza
Plaza de Felipe II,Juan Bravo 50
Jaime el Conquistador,Embajadores-Cáceres
Entrada Matadero,Embajadores 1
Embajadores-Cáceres,Antón Martín
Orense 12,Remonta
Ermita Santo,Plaza de Lavapiés
Puerta de Madrid,Menéndez Pelayo
Narváez,Plaza de Lavapiés
Caramuel,Jacinto Benavente
Guzmán el Bueno,Segovia 45
Plaza de las Salesas,Plaza de los Carros
Guzmán el Bueno,Alonso Martínez
Ortega y Gasset,Avenida de los Toreros
Ermita Santo,Glorieta de Cádiz
Paseo de la Florida,San Hermenegildo
Barceló,Galileo
Santa Engracia 127,Alonso Martínez
Plaza de las Salesas,José Abascal
Almadén,Retiro-Ibiza
Fuencarral,Santa Engracia 127
Ronda de Atocha,Plaza de Pedro Zerolo
Puerta de Toledo,San Andrés
Quevedo,Hospital Clínico
Glorieta de los Cuatro Caminos,Manuel Silvela
Plaza de Lavapiés,Plaza de San Ildefonso
Junta Municipal Retiro,Santa Isabel
Paseo Imperial,Embajadores-Cáceres
Marqués de Vadillo,Santa María de la Cabeza
Marqués de Vadillo,Santa María de la Cabeza
Francos Rodríguez,Orense 12
Marqués de Zafra,Parque Roma
Puerta de Granada,Legazpi
Glorieta de los Cuatro Caminos,Conde Duque
Doce de Octubre,Santa Isabel
Marqués de Zafra,Palacio de Deportes
Ermita Santo,Puerta de Toledo
Jaime el Conquistador,Plaza de Lavapiés
Ibiza,Concordia
Antonio López,Plaza de la Cebada
Embajadores 2,San Quintín
Doce de Octubre,Santa Isabel
Villanueva,San Delfín
Plaza de San Francisco,Entrada Matadero
Plaza de Santa Ana,Fuencarral
Puerta de Toledo,Plaza Conde Suchil
Velázquez-Diego de León,Mártires Concepcionistas
Plaza de los Carros,Plaza de Juan Pujol
Conde de Casal,Junta Municipal Retiro
Plaza de Lavapiés,Puente Praga
Orense 12,Zurbano
Caramuel,Santa María de la Cabeza
Plaza de Santa Ana,Plaza de San Ildefonso
Fuencarral,Glorieta de los Cuatro Caminos
Plaza de la Cebada,Legazpi
Puerta de Granada,Retiro-Ibiza
Puerta de Mariano de Cavia,Retiro-Ibiza
Plaza de San Francisco,Santa Engracia 127
San Vicente Ferrer,Plaza de la Independencia
Metro Pirámides,Santa María de la Cabeza
Jaime el Conquistador,Santa Isabel
Segovia 45,Paseo de la Florida
General Álvarez de Castro,Augusto Figueroa
Sevilla,Ayala
Camino Vinateros,Miguel Moya
Plaza de las Salesas,José Abascal
Narváez,Puerta de Toledo
Plaza de la Cebada,San Bernardo
Doctor Arce 45,José Abascal
Plaza de San Francisco,Embajadores 2
Cartagena,Plaza de Felipe II
Ortega y Gasset 87,Augusto Figueroa
Glorieta de los Cuatro Caminos,Augusto Figueroa
Plaza de la Cebada,Manuel Silvela
Palos de la Frontera,Fuencarral
Galileo,Santo Domingo
Fernando el Católico,Manuel Silvela
Puerta del Ángel Caído,Plaza de Lavapiés
Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Esperanza
San Bernardo,Fernando el Católico
Conde Duque,Puerta de Madrid
San Hermenegildo,San Bernardo
Ventura Rodríguez,Plaza de San Ildefonso
Puerta de Granada,Velázquez
Estrecho,Cuatro Caminos 2
Almadén,Retiro-Ibiza
Palos de la Frontera,Fuencarral
Junta Municipal Retiro,Sainz de Baranda
Santo Domingo,Malasaña
Beata,San Delfín
Segovia 45,Plaza de Lavapiés
Puerta del Ángel,San Vicente Ferrer
C.D. Concepción,Paseo de la Habana 42
General Álvarez de Castro,Glorieta de los Cuatro Caminos
Puerta del Ángel,San Vicente Ferrer
Glorieta de Cádiz,Plaza de la Cebada
Plaza de Nelson Mandela,Puerta del Ángel Caído
Plaza de las Salesas,Plaza de la Cebada
Doctor Esquerdo-Hermosilla,Doce de Octubre
General Pardiñas,Augusto Figueroa
Santa María de la Cabeza,San Delfín
Parque Santander,José Abascal
Puente Praga,Paseo de la Esperanza
General Pardiñas,Avenida Donostiarra
Ferraz,Plaza de la Cebada
Plaza de Pedro Zerolo,Santa Isabel
Embajadores 1,Entrada Matadero
Puente Praga,Jacinto Benavente
Plaza de Felipe II,Méndez Álvaro
Plaza de San Miguel,Entrada Matadero
Paseo Imperial,Embajadores 1
Plaza Ramales,Entrada Matadero
Puerta de Granada,Jacinto Benavente
Antonio Maura,Plaza de la Cebada
Orense 12,Santa Engracia 87
Plaza de los Carros,Entrada Matadero
Ferraz,Desengaño
Guzmán el Bueno,Plaza de los Carros
Metro Pirámides,Paseo de la Esperanza
Augusto Figueroa,Puente de Vallecas
San Delfín,Paseo de la Florida
Plaza Ramales,Caramuel
Puerta de Toledo,Plaza de Lavapiés
Galileo,Glorieta de los Cuatro Caminos
Batalla del Salado,Plaza de la Cebada
Plaza de San Francisco,Entrada Matadero
Colegio Arquitectos,Bravo Murillo 44
Juan Bravo 50,Manuel Silvela
Francos Rodríguez,Galileo
Parque Santander,Biblioteca Nacional
Marqués de Zafra,Huertas
Ibiza,Plaza de Pedro Zerolo
Paseo Imperial,Jacinto Benavente
Plaza de San Miguel,Segovia 45
Guzmán el Bueno,Quevedo
Augusto Figueroa,Santa María de la Cabeza
Glorieta de los Cuatro Caminos,José Abascal
Plaza de San Francisco,Sevilla
Sevilla,Ayala
Parque Roma,Cuesta de Moyano
Plaza de los Carros,Augusto Figueroa
Caramuel,Plaza de Pedro Zerolo
Entrada Matadero,Embajadores-Cáceres
Ortega y Gasset 87,Augusto Figueroa
Colegio Arquitectos,Cea Bermúdez
Puerta de Toledo,San Bernardo
Augusto Figueroa,Puente de Vallecas
Marroquina,Camino Vinateros
Manuel Silvela,Plaza de la Cebada
Concordia,Méndez Álvaro
Santa Engracia 87,San Hermenegildo
Fernando el Católico,Estrecho
San Germán 57,Santa Engracia 14
Puerta del Ángel Caído,General Álvarez de Castro
Segovia 45,Plaza de la Cebada
Paseo de la Esperanza,Jesús y María
Manuel Silvela,Rubén Darío
Plaza de San Ildefonso,Fernando el Católico
Fernando el Católico,Santo Domingo
Méndez Álvaro,Concordia
Puerta de Toledo,Casa Encendida
Juan Bravo 50,Castelló
Junta Municipal Retiro,Retiro-Ibiza
Plaza de la Cebada,Caramuel
Plaza de la Cebada,Marqués de Vadillo
Prosperidad,Colombia
Plaza de la Cebada,Paseo de la Florida
Estrecho,José Abascal
Puerta de Granada,Sainz de Baranda
Plaza de la Cebada,Delicias
Puerta del Ángel Caído,Plaza de Nelson Mandela
Almadén,Retiro-Ibiza
General Pardiñas,Manuel Silvela
Paseo de Moret,Juan Bravo 50
Carlos Cambronero,Plaza de San Francisco
Avenida de los Toreros,Conde de Casal
Doctor Arce 45,José Abascal
Cartagena,Barceló
Juan Martín,Retiro-Ibiza
Caramuel,Plaza de la Cebada
Alonso Martínez,Francos Rodríguez
Caramuel,Santa María de la Cabeza
Zurbano,Prosperidad
Marqués de Vadillo,Paseo de la Florida
José Abascal,Altamirano
Avenida de América 2,Ronda de Atocha
Plaza de San Miguel,Ronda de Atocha
Bravo Murillo 44,Fernando el Católico
Augusto Figueroa,Plaza de Lavapiés
Santo Domingo,Columela
Menéndez Pelayo,Doce de Octubre
Santa Engracia 87,Guzmán el Bueno
Niño Jesús,Santa Isabel
Santa María de la Cabeza,Santa Isabel
Plaza de Lavapiés,Jacinto Benavente
Prosperidad,Casa Encendida
Orense 36,Orense 12
Segovia 45,Casa Encendida
Paseo de la Florida,Entrada Matadero
Fernando el Católico,Quevedo
Paseo de la Castellana con Raimundo Fernández,Barceló
Palacio de Oriente,Santa Isabel
Augusto Figueroa,Plaza de Lavapiés
Colegio Arquitectos,Bravo Murillo 44
San Quintín,Plaza de San Francisco
Plaza de Felipe II,Méndez Álvaro
Altamirano,Tres Cruces
Palos de la Frontera,Plaza de Lavapiés
Entrada Matadero,Pirámides
Plaza de la Cebada,Colegio Arquitectos
General Álvarez de Castro,Plaza de los Carros
Santa Engracia 87,Hortaleza
San Delfín,Antón Martín
Galileo,Plaza de la Cebada
Santa Engracia 127,Barceló
Ribera de Curtidores,Plaza de la Cebada
Doce de Octubre,Santa Isabel
Jaime el Conquistador,Antonio López
Plaza de Lavapiés,Marqués de Cubas
Plaza de Lavapiés,Marqués de Cubas
Puerta de Madrid,Colegio Arquitectos
Plaza de la Cebada,Caramuel
Plaza de San Ildefonso,Castellana
Metro Pirámides,Santa María de la Cabeza
Cuatro Caminos 2,Doctor Arce 45
Prosperidad,Augusto Figueroa
Mártires Concepcionistas,Augusto Figueroa
Sevilla,Segovia 45
Plaza de Lavapiés,Plaza de Pedro Zerolo
Caramuel,Segovia 26
Augusto Figueroa,Cea Bermúdez
Santa Engracia 127,Santa Engracia 14
Marqués de Vadillo,Plaza de la Cebada
Plaza de los Carros,Santo Domingo
Plaza de Lavapiés,Sevilla
Plaza de las Salesas,José Abascal
Avenida de América 2,Ortega y Gasset 87
Palos de la Frontera,Plaza de los Carros
Palos de la Frontera,Fuencarral
Menéndez Pelayo,Plaza de la Independencia
Almadén,Retiro-Ibiza
Plaza de la Cebada,Manuel Silvela
Juan Bravo 50,Castelló
Jacometrezo,Metro Pirámides
Antón Martín,Beata
Marqués de Vadillo,Antón Martín
Marqués de Vadillo,Antón Martín
Puerta del Ángel,Jacometrezo
Sevilla,Ayala
Jaime el Conquistador,Plaza de Nelson Mandela
Jaime el Conquistador,Plaza de Lavapiés
Plaza de la Independencia,Narváez
Guzmán el Bueno,Glorieta de los Cuatro Caminos
Puerta de Toledo,Jacinto Benavente
Santa Engracia 87,Glorieta de los Cuatro Caminos
Remonta,Quevedo
Puerta de Toledo,Ronda de Atocha
Ortega y Gasset 87,Corazón de María
Puerta del Doce de Octubre,Puente Praga
Puerta de Granada,Retiro-Ibiza
Barceló,Plaza de los Carros
Plaza de la Cebada,Paseo Imperial
Segovia 26,Caramuel
Antón Martín,Puente de Vallecas
Plaza de San Miguel,General Pardiñas
Reina Victoria,Fernando el Católico
Plaza de Lavapiés,Marqués de Vadillo
Conde de Casal,Puerta del Doce de Octubre
Quevedo,Juan Bravo 50
Marqués de Zafra,Palacio de Deportes
Moncloa,Plaza de la Cebada
Glorieta de Cádiz,Embajadores 2
Batalla del Salado,Bravo Murillo 44
Embajadores 1,Antón Martín
Santa María de la Cabeza,Metro Pirámides
Fuencarral,Glorieta de los Cuatro Caminos
Puerta de Madrid,Plaza de la Cebada
Puerta del Doce de Octubre,Menéndez Pelayo
General Álvarez de Castro,Plaza de los Carros
Plaza de la Cebada,Legazpi
Ermita Santo,Puerta de Toledo
María Francisca 1,Colombia
Marqués de Vadillo,Plaza de Pedro Zerolo
Plaza de la Cebada,Caramuel
Metro Pirámides,Embajadores 1
Altamirano,Fuencarral
Plaza de la Independencia,Sainz de Baranda
Ibiza,Puente de Vallecas
Puerta de Toledo,Puerta del Ángel
Santa Engracia 127,Santa Engracia 14
Plaza de la Independencia,Sainz de Baranda
Manuel Silvela,Parque Santander
Plaza del Cordón,Caramuel
Hortaleza,Serrano
Ferraz,Plaza del Cordón
San Hermenegildo,Plaza de la Cebada
Fernando el Católico,Ventura Rodríguez
Embajadores 1,Ronda de Atocha
Guzmán el Bueno,Orense 36
Batalla del Salado,Plaza de la Cebada
Huertas,Plaza de Pedro Zerolo
Fernando el Católico,General Álvarez de Castro
Ribera de Curtidores,Plaza de San Francisco
Paseo de la Esperanza,Plaza de Lavapiés
San Bernardo,Jesús y María
Entrada Matadero,Puerta del Ángel
Jacometrezo,Metro Pirámides
Plaza de San Francisco,San Andrés
Villanueva,Guzmán el Bueno
Metro Pirámides,Puente Praga
Cibeles,General Pardiñas
Plaza de los Carros,Galileo
General Pardiñas,Fuencarral
Plaza de la Cebada,Museo Reina Sofía
General Pardiñas,Derechos Humanos
Plaza del Cordón,Segovia 45
Plaza de la Cebada,Paseo de la Esperanza
Embajadores 2,San Quintín
Plaza de Pedro Zerolo,Galileo
Alcántara,Ibiza
Alcántara,Ibiza
Galileo,Jacometrezo
Jacinto Benavente,Ermita Santo
Parque Santander,Glorieta de los Cuatro Caminos
INEF,General Álvarez de Castro
Palacio de Oriente,Plaza de San Ildefonso
Ayala,Marqués de Corbera 52
Embajadores-Cáceres,Plaza de Nelson Mandela
Puente de Ventas,Ayala
Príncipe de Vergara,Junta Municipal Retiro
Pablo Iglesias,Barceló
San Francisco de Sales,Quevedo
Castellana frente a Hermanos Pinzón,Arcipreste de Hita B
Puerta de Toledo,Conde de Romanones
Paseo de Moret,Plaza de la Cebada
Facultad Derecho,José Abascal
Embajadores 2,Junta Municipal Retiro
Antonio Maura,Puerta de Mariano de Cavia
San Vicente Ferrer,Velázquez
Casa Encendida,Plaza de los Carros
Marqués de Vadillo,Plaza de la Cebada
Corazón de María,Antonio López
Plaza de Lavapiés,Carlos Cambronero
Marqués de Vadillo,Plaza de la Cebada
San Bernardo,Manuel Silvela
Parque Berlín,Plaza de San Ildefonso
Paseo de la Florida,Ermita Santo
Quevedo,San Quintín
Segovia 45,Puerta del Ángel
San Delfín,Plaza de Lavapiés
Corazón de María,Quinta Fuente del Berro
Ronda de Atocha,Plaza de Pedro Zerolo
Mártires Concepcionistas,Avenida de América 1
Palacio de Oriente,Segovia 45
Glorieta de los Cuatro Caminos,Colegio Arquitectos
Camino Vinateros,Gutierre de Cetina
Agustín de Betancourt,Pío XII
Augusto Figueroa,Plaza de Lavapiés
Alonso Martínez,Guzmán el Bueno
Puente Praga,Marqués de Vadillo
Conde de Romanones,Puerta del Ángel
Segovia 45,Jesús y María
Segovia 45,Plaza de San Francisco
Puerta de Toledo,Puerta de Madrid
Méndez Álvaro,Concordia
Camilo José Cela,Plaza de San Juan de la Cruz
General Pardiñas,Pedro Bosch
Torre Cepsa,Prosperidad
Camino Vinateros,Miguel Moya
Ventura Rodríguez,Puerta del Doce de Octubre
Paseo de la Esperanza,Entrada Matadero
Hortaleza,Santa Engracia 87
Doce de Octubre,Niño Jesús
Agustín de Betancourt,Plaza de Castilla
Ayala,San Bernardo
Conde Peñalver,Plaza de las Salesas
Francos Rodríguez,Santa Engracia 87
Plaza de Lavapiés,Carlos Cambronero
Desengaño,Manuel Silvela
San Hermenegildo,Plaza de San Ildefonso
San Hermenegildo,Plaza de San Ildefonso
Santa Isabel,Palos de la Frontera
Casa Encendida,C.D. Concepción
Mártires Concepcionistas,Castelló
General Pardiñas,Plaza de Felipe II
Beata,Embajadores 2
Marqués de la Ensenada,Antonio López
General Pardiñas,Museo Reina Sofía
Concordia,Plaza de San Miguel
Marroquina,Puerta del Pacífico 
Marroquina,Puerta del Pacífico 
Santa Engracia 87,Parque Santander
Santa María de la Cabeza,Plaza de Lavapiés
Menéndez Pelayo,Metro Pirámides
Manuel Silvela,Plaza de San Francisco
Plaza de San Miguel,Santa Isabel
Velázquez 130,Plaza de las Salesas
Doce de Octubre,C.D. Concepción
Avenida de los Toreros,Hortaleza
Plaza de Lavapiés,Embajadores-Cáceres
Paseo de las Delicias,Plaza de Lavapiés
Estrecho,San Andrés
Concordia,Embajadores 2
Jacinto Benavente,Paseo de la Esperanza
Columela,Cartagena
Santo Domingo,Parque Santander
Paseo Imperial,San Delfín
Biblioteca Nacional,Colegio Arquitectos
Ermita Santo,Jacinto Benavente
Orense 12,José Abascal
Paseo de la Habana 63,Plaza de Lavapiés
Torre Cepsa,Palos de la Frontera
Plaza de la Cebada,Marqués de Vadillo
Augusto Figueroa,Manuel Silvela
Paseo de la Habana 63,Francos Rodríguez
Parque Santander,Plaza de San Francisco
Velázquez 130,San Bernardo
Parque Santander,Plaza de San Francisco
Plaza de la Cebada,Casa Encendida
