nombre,acceso,observaciones,señalizacion externa,latitud,longitud
Bocivacas,,No enviado archivo anterior,No,43.04715473765325,-5.2245026490576985
Bustraniego,,Paraje: Bustraniego,No,42.93901876116236,-5.018920797201117
Campomuelle,,Paraje: Campomuelle,No,43.00902824407005,-5.351889598568266
Carcedo,,Paraje: Carcedo,No,43.087871032123104,-5.120321287274807
Carrerina blanca,,Caseta madera elevada,No,43.00979779437119,-5.214335285370457
Castillejo,,Ganaderia,No,43.00911506599,-5.044112561379165
Cerranzana,,No enviado archivo anterior,No,43.06914259223937,-5.10623178646481
Collada San Martín,,Tiene ficha hecha,No,42.906545845191296,-5.01482573955386
Collado Jermoso (Federacion De Montaña),,Paraje: Collado Jermoso,No,43.173005728877904,-4.869441985094073
Corral de los lobos,,Tiene ficha hecha,No,42.904475945732855,-4.990869645305585
Cosalines,,Ganaderia,No,43.03509898136123,-5.159765547967992
El Collado-Majada Uña,,Ganaderia,No,43.089549476750896,-5.151854733565384
Erendia,,Ganaderia,No,43.026948096588825,-5.134584436972001
Fontasquesa,,Paraje: Fontasquesa,No,43.03595891242747,-5.246306507272344
Gustalapiedra,,Hecho 2001,No,42.98191587098687,-4.816098745493999
La Cebada,,ganaderia,No,43.08803994615642,-4.973081516096615
La Fonfria,,Paraje: La Fonfria,No,43.09484179388085,-5.116858710496304
La Guaria,,Caseta madera elevada,No,43.04375199275019,-5.282532266753339
La Horcada,,Paraje: La Horcada,No,43.081584883540714,-5.134169800987744
La Oscura,,caseta madera elevada,No,43.015632987885716,-5.235149884192862
La Pared,,Paraje: La Pared,No,43.03852408689648,-5.173536712985041
La Prada,,Paraje: La Prada (El Joberon),No,42.99941475195936,-4.914070597834728
La Traviesa,,Abierto 24h,No,42.9476817219198,-5.096306182796821
Lago Isoba,,Paraje: Lago Isoba,No,43.061597155657005,-5.321034070492635
Las Coronas,,tiene ficha hecha,No,42.87927424137862,-4.99686433020586
Las Hazas,,Madera o piedra,No,43.05817191169544,-4.792625457655235
Las Rebequeras,,Paraje: Las Rebequeras,No,42.94315559666301,-5.113888930012119
Llampas,,Abierto 24h,No,42.90268710729137,-5.090187402460484
Llampiellas,,Abierto 24h,No,42.90523410655962,-5.093702249757531
Llorada,,Abierto 24h,No,42.997225008414176,-5.114541067703276
Llos,,Paraje: Llos,No,43.16075166865407,-4.957587342733542
Lois,,Cerrado,No,42.98203138836932,-5.126363774735699
Los Acebos,,Paraje: Los Acebos,No,42.954569575627595,-4.856229712404533
Los Castros,,Abierto 24h,No,42.96451785630882,-5.125228562514807
Los Llanos,,Solo se observa antigua planta,No,42.89735231555927,-5.182213659208334
Los Portales,,Paraje: Los Portales (Valdosin),No,43.020669116067616,-5.210973845171479
Luriana Alta,,Paraje: Luriana Alta,No,43.084475232003356,-4.82721702907324
Luriana Baja,,Paraje: Luriana Baja,No,43.0846880815015,-4.847273986531815
Machoril (Caseta),,Paraje: Machoril,No,42.99108148392111,-4.845658561506482
Maganaves,,Paraje: Puerto De Maganaves,No,42.982919253289765,-4.850609841869053
Majada Lario (Riosol),,No enviado archivo anterior,No,43.075224154160246,-5.176499231042268
Majada Montó (Las Hazas),,Ganaderia,No,43.07219817443717,-4.916971840856555
Majada Redihorno,,Ganadería (en listado antes Camperas),No,42.96279653527303,-5.092654465781673
Mataferrera,,caseta madera elevada,No,43.02426197441236,-5.281527064889101
Melendrín,,Ganaderia,No,43.0699084291769,-5.129109769986513
Mirva-Rabanal,,Paraje: Mirva,No,43.05817191169544,-4.792625457655235
Monte Ranedo,,Paraje: Monte Ranedo,No,43.047801512161264,-5.083597148189817
Monte Viejo,,Ganaderia,No,42.90337310489564,-4.907057084734319
Morro Las Vegas,,Ganaderia,No,43.04353569285268,-5.009322983450417
Mostajal,,Ganaderia,No,43.09765734497785,-4.84490597704534
Naranco,,Paraje: Naranco,No,43.05010597896376,-4.7652827416128405
Peña Terrionda,,Cerrado,No,42.95484699594451,-5.1732879963861595
Peña Todos Los Vientos,,Paraje: Peña Todos Los Vientos,No,43.0171547561642,-5.146991124924779
Peñalba,,Paraje: Peñalba,No,42.94708683373893,-4.820804115535256
Pescadores,,Cerrado,No,42.92644831992824,-5.112643750089987
Picones,,Paraje: Picones,No,42.91996363173331,-4.866353668543927
Piedrashitas,,Paraje: Piedrashitas,No,43.13486877113639,-4.980908024720083
Piedrasobas,,Paraje: Piedrasobas,No,43.072173152760705,-4.779620468219563
Puerma,,Paraje: Puerma,No,43.092799318410734,-4.85728867700131
Puerto de Horcadas,,Paraje: Puerto De Horcadas,No,42.924577429882106,-5.0364701492643755
Puerto Grande,,"Planta circular, paredes de piedra, techo de escoba",No,42.97974958874539,-5.116219297714165
Recubiles,,Paraje: Recubiles,No,42.9651077679966,-5.178658403368829
Recubiles Aprisco,,Paraje: Recubiles,No,42.96473136515896,-5.179654540464292
Río la Puerta,,No enviado archivo anterior,No,43.069902837816635,-5.0870386530339875
Riosol,,Paraje: Riosol,No,43.076085630711916,-5.215332138516384
Roza La Calle,,Paraje: Roza La Calle,No,42.999836699265146,-4.8205761092021495
Salamón,,Abierto 24h,No,42.95808262783125,-5.108638616034508
San Miguel,,Ganaderia,No,43.07346716165321,-5.158546131094257
Subida Tronisco,,Caseta madera elevada,No,43.0491291646722,-5.265626556929536
Susarón,,Caseta madera elevada,No,42.990515640011246,-5.30627977924551
Tejedo,,Solo se observa la antigua planta,No,42.888744988973095,-5.109892969296372
Tejedo,,Ganaderia,No,43.05439320859396,-4.847690281624076
Trapa,,Abierto 24h,No,42.8985020579179,-5.087170562550859
Tronisco,,Paraje: Tronisco,No,43.050284634633314,-5.250366235976981
Valcarque,,Ganaderia,No,43.08231913101958,-4.913231716585791
Valdesalamón,,"Levantamiento reciente, paredes de piedra cimentada, techo de escoba",No,42.94315190633294,-5.113150213627782
Valdesolle,,Paraje: Valdesolle,No,42.97824941683178,-5.20733705292724
Vallerianes,,Caseta madera elevada,No,43.03365709319009,-5.283306329793517
Vallines,,Paraje: Vallines De Arriba,No,43.07391442256413,-4.856420779043659
Vallinoso,,Cerrado,No,42.94933695113157,-5.15468500413542
Vega Lasprón,,"Planta circular, paredes de piedra cimentada, techo de escoba",No,42.99198100708404,-5.170701589740848
Vegabaño,,Uso libre (previo pago),No,43.166031887537876,-5.004995609110647
Venticueva,,Abierto 24h,No,42.942833751769484,-5.094819449084917
Vioba,,Abierto 24h,No,42.99732221102486,-5.172083441838383
Zampuerna,,Paraje: Zampuerna,No,43.07475689229674,-5.267269748617479
Zampuerna-Aprisco,,Paraje: Zampuerna,No,43.074626201541186,-5.267154517272408
Refugio de pescadores del Escenario Deportivo Social de Pesca de Castronuño,"Cruzamos el río Duero por la presa de San José en dirección a San Román de Hornija, y justo pasada la presa giramos 90º y entramos en el camino de Cubillas. Seguir este camino 1,5 kilómetros en dirección al río Duero y llegamos el refugio.",El refugio se presta a los colectivos de pescadores que ostentan la fecha en cuestión según el calendario de pesca,No,41.402251733939025,-5.251031836908777
Sanchivieco,"Desde Hoyos del Espino por la carretera de la plataforma y pasado el Puente del Duque a 2 km, por la pista cerrada de tierra a Sanchivieco y Las Maliciosas a 1,4 Km. A pie de pista.","Edificios adosados con tres dependencias, una de ellas dispone de chimenea. Abrevadero grande de piedra para el ganado, cerramiento de piedra, zona de pinar y praderas.",No,40.32943247088586,-5.170752374041429
Prado del Toro,Desde Navalperal por la pista de asfalto que baja al rio Tormes y cruzado el puente al fondo de la pradera del prado del Toro,"Situado en la margen izquierda del río Tormes, al inicio de la senda de Cinco lagunas",No,40.34765506518954,-5.29005834826906
El Cotorro,"A 15 minutos andando desde la carretera C-500 Km 44 con dirección Sur, hacia el cordel de ganado del Puerto del Pico a Piedrahita, se llega a la valla del pinar y dentro, a 100 m de la puerta en dirección Oeste.",Refugio con 2 pequeñas dependencias. Tiene una barrera de hierro a la entrada para impedir que entre el ganado.,No,40.352091706470425,-5.102886030914381
Peña Histórica,"Desde Navarredonda por la pista del frontón y entrada al pinar de Navahondilla, M.U.P 98, 2,5 Km.",Tiene 2 bancos de fábrica interiores y una barrera de hierro a la entrada para impedir que entre en ganado.,Si,40.35122245351969,-5.1138424254724315
Casa del Guarda,"Desde el puerto de Serranillos por la pista forestal que conduce hasta el puerto del Pico, pasandop por las antenas de tv, a unos dos kilometros",Grande y de piedra con un amplio corral de piedra en la parte de atrás y con grandes paredes de piedra,No,40.32080276216228,-4.943670839105723
Cazadores,"A 15 Km de San Esteban del Valle, por el puerto de Serranillos y desde allí a 200 metros con dirección Oeste. Desde el puerto se Serranillos a 200 m por la pista forestal",Casa grande con porche y recinto vallado con árboles. Cerca del puerto de Serranillos. Utilizado por los cazadores al< paso de las palomas en el mes de noviembre,No,40.30761267981567,-4.949162497680822
Casa de los Vaqueros,Desde la plataforma de Gredos a 25 minutos hacia la Laguna Grande y desviandose 300 m al Norte del camino en el llano de Las Pozas. Junto a los refugios de Reguero Llano. También directamente desde la plataforma a 25 minutos con dirección Oeste.,Pequeño refugio con corral a la entrada y puerta cerrada. Interior con dependencias para dormir. Cerrado.,No,40.274883988849375,-5.237250700162342
Casa de Gredos,,"En la cuerda de la montaña cercano a la pared de la sierra entre la Aliseda y Navamediana, a casi 2000 metros de altitud",No,40.286867140581734,-5.32777219237335
El Churrital,,En la senda de la gargfanta de Navamediana,No,40.28946014095969,-5.38973985731099
Las Portillas,"Desde Candeleda, por la pista del camino del Puerto de Candeleda hasta la Torreta de Incendios, unos 5 Km. Desde Poyales se llega por la pista forestal de tierra de La Garganta, pasar la Casa de La Barrera y 4 Km. Hasta La Torreta, unos 11 Km.","Pequeño refugio con tejado a un agua. Con vistas a los Riscos de Morezón, Hermanitos de Gredos y Almanzor por el Norte; al Sur se encuentran el Valle del Tietar y el pantano de Rosarito. Usado por el vigilante de la torreta de incendio.",No,40.185626276465364,-5.211495344812472
Refugio pescadores El Tejar,"Desde el puente del Tejar, en el Hornillo a 30 metros del puente por una pista de tierra","Refugio abierto en la orilla del río Arenal, en el Hornillo.",No,40.238770139508425,-5.090399342322275
Cañada La Huesa,"Andando desde la pista de Brbellido y collado tejedo por una trocha a 1,3 h andando","Abierto todo el año y utilizado por cazadores, montañeros y ganaderos. Tiene un gran corral de piedra alrededor",Si,40.31437317914876,-5.242958847550035
El Artiñuelo,Desde la plataforma de Gredos.,"Antigua cabaña de pastores con dos dependencias restaurada, una de ellas orientada al oeste y alejada de la garganta de las Pozas.",Si,40.28371302974828,-5.244658722285547
La Moncillera,"Pista de tierra que sale del Km 24,2 de la C-500, con dirección Sur, hacia el río, de 2 km y termina en el refugio.","Típico refugio de pescadores próximo al río Tormes con pequeño porche, al pie de la pista que acaba en este punto. Cubierta a un agua.",Si,40.35099080760605,-5.270031419802606
Los Labradillos,"Desde Navalperal por el camino de la garganta de Gredos, a 2,3 h andando en subida . Desde la Plataforma por la garganta de Prado de las Pozas y garganta de Gredos, en bajada a 2 h.","Dos cabañas adosadas con camastros y bancos, en el camino de la Garganta de Gredos, en la margen izquierda, cerca de Roncesvalles, en zona de robles. Señalizado.",Si,40.30991117846249,-5.270509263646004
Roncesvalles,"Desde Navalperal por la garganta de Gredos y pasado el puente de Roncesvalles, por la garganta de Las Pozas a 3 h. También desde la plataforma de Gredos por la garganta de las Pozas, en bajada y antes de llegar a la garganta de Gredos, a 1,3 h.",Refugio semicircular en zona de antiguos puestos de pastores.,Si,40.301542425664834,-5.267052264465742
La Mangá,Pista forestal del Colmenar.,"Refugio de piedra grande con tejado a dos aguas, a pie de pista del Colmenar, en zona de pinar orientado al norte.",No,40.343046292118935,-4.987129449571573
El Cervunal,Por la garganta de Gredos,Pequeño edificio de forma cónica con paredes de piedra y cubierta de tejas en la base del Cabeza Nevada.,Si,40.29067538093488,-5.288541012359619
La Barranca,"Desde Navalperal por la senda de Cinco Lagunas a 2,3 h.","Refugio de fortuna circular sobre un antiguo chozo de pastores, con cubierta de tejas de forma cónica, en zona de montaña, alejado, en la senda de Cinco Lagunas.",Si,40.29004237872063,-5.299752127496822
Las Hoyuelas,"Desde el puente nuevo de Zapardiel de la Ribera por la garganta del Hornillo, a 2 h.","Caseta de ganaderos cerca del arroyo de una sola pieza, porche de piedra a la entrada y corral grande de piedra para el ganado.",No,40.30625869886446,-5.315717507628014
Los Barquillos,"Desde la fuente de Navalperal remontar a la Cuerda del Barquillo, a 30 minutos.","Refugio de fortuna con cubierta a un agua, apoyado en una gran roca. Orientado al este, en la parte alta de la Cuerda de los Barquillos.",No,40.29833659283631,-5.3023879632934765
La Albarea,Pista forestal de la Garganta Blanca,"Refugio de dos plantas, tejado a dos aguas con cubierta de teja. Piso de cemento, escalera de madera y chapado exterior en parte con piedra. Cuarto exterior adosado con puerta exterior.",Si,40.21560241620345,-5.247632095013402
La Ortiga,"Carretera del Arenal al puerto de la Centenera km. 4,5 . A pie de carretera en un ensanche después del arroyo de la Ortiga.","Refugio de fortuna a pie de carretera con tejado a un agua y bancos exteriores de madera, en zona de pinar.",Si,40.292378487236014,-5.072184734716197
Las Campanas,"Desde el puerto de la Centenera hacia el Norte, por la pista de las Campanas, a 35 minutos andando desde este puerto.",Refugio en la ruta del puerto del Arenal. Con tejado a un agua y banco interior.,Si,40.298876442056105,-5.05875242774699
Collado de la Casa,Desde el Hornillo por la pista forestal de la Francisca,"Pequeño refugio con tejado a un agua, a pie de pista forestal en zona de pinar.",No,40.24550477684034,-5.123109754113551
Domingo Fernando,"A unos 7,2 Km del Hornillo por el carril forestal del Charco Verde. Desde la plataforma de Domingo Fernando por la calleja andando durante 10 minutos por el camino del Puerto del Peón.","Refugio de fortuna cerca del inicio de la senda del Puerto del Peón y Canal Seca, con tejado a un agua.",Si,40.262207327575005,-5.140059888787319
La Francisca,"Carretera del Hornillo a Guisando. Camino Forestal al Collado de la Casa y La Francisca, cruzando el Río Cantos. A 2,5 Km desde El Hornillo.","Refugio grande, con porche a la entrada, en la zona de la Francisca, cubierta a dos aguas. Contraventanas de madera y almacén.",No,40.25855954832226,-5.129726388942039
La Lancha del Rey,"Desde el Hornillo 7,1 Km., dirección a Guisando y por el camino de La Francisca, después por pista de tierra dirección la Lancha del Rey. A 80 m de la pista forestal. Pista de las Tormeras.","Pequeño refugio de fortuna con tejado a una agua cerca del area recreativa, en zona de pinar con buenas vistas.",Si,40.265862535573426,-5.122062318567204
Las Tormeras,"Desde el Hornillo a 8,5 Km por pista forestal hacia la Lancha del Rey y desde allí continúa una pista hacia las Tormeras. Después andando, desde el final de esta pista con dirección Norte, durante 5 minutos.","Edificio a dos aguas, entre pinos. Tejado de pizarra negra con porche cubierto en la entrada.",Si,40.27145253550592,-5.12564232088739
El Hoyuelo,"Desde Guisando sale la pista con dirección a el Hoyuelo, a 4,5 Km.","Pequeño refugio en el cruce de pistas forestales con tejado a un agua, en zona de pinar.",Si,40.24141251909841,-5.1388322235477775
Guisandillo,"A 5 Km de Guisando por la carretera a Candeleda, desviandose en el P.K. 4,5 por la pista forestal a la derecha. En la confluencia de pistas forestales y cortafuegos.","Pequeño refugio en el cruce de pistas forestales y cortafuegos, con tejado a un agua, en zona de pinar.",No,40.206047019832766,-5.135556177322612
La Sillita,Desde Guisando a unos 10 Km. por la pista forestal que une Guisando con la C-501 y desde esta por el camino forestal de La Torreta. Desde Arenas a unos 17 km dirección Candeleda y por la pista de Arbillas y la de La Torreta.,"Refugio de fortuna con tejado a un agua en zona de pinar, con vistas a Arenas y al Valle del Tietar. Usado por el vigilante de la torreta de incendios de la Sillita",Si,40.20316124317286,-5.144190138490398
Nogal del Barranco,"Desde Guisando 4,5 Km por la carretera al Nogal del Barranco","Edificio con porche a la entrada y zócalo alrededor. Con tejado de pizarra a dos aguas en la plataforma del Nogal del Barranco, zona de pinar.",Si,40.23453115655951,-5.162403609900362
La Hoya,Desde Hoyos del Collado por pista asfaltada a 2 Km dirección Norte. Andando desde Prado Molino en Hoyos del Espino por el cordel de ganado dirección a Barco de Avila 15 minutos.,Refugio grande en la margen derecha del río Tormes en el tramo del GR-10 entre Hoyos del Espino y Navacepeda.,Si,40.344586154678844,-5.201275089712695
El Mellizo,"Carretera de la Plataforma de Gredos y desvio a Navacepeda de Tormes. Desde Navacepeda de Tormes, por la pista de Barbellido","Típico refugio de pescadores, próximo a la Garganta de Barbellido con pequeño porche, al pie de pista . Cubierta a un agua.",Si,40.31630245414213,-5.2136823372806855
Carbonero,"Desde la Aliseda por la pista forestal de la garganta de La Solana a 4,5 Km. Situado a 200 metros del final de la pista. Sin señalización.","Pequeño refugio en la garganta de la Solana, en zona de pastos. Cubierta a dos aguas de teja roja árabe. Cercado alrededor de piedra.",No,40.30847564115573,-5.347386344807386
El Carbonero,"Desde la Aliseda por la pista forestal de la garganta de La Solana a 4,5 Km. Situado a 200 metros del final de la pista. Sin señalización.","Pequeño refugio en la garganta de la Solana, en zona de pastos. Cubierta a dos aguas de teja roja árabe. Cercado alrededor de piedra.",No,40.30851010112174,-5.347276945653959
Majada del Tío Manteca,Desde el puerto del Pico por la senda del Torozo,Caseta de piedra con tejado a dos aguas en un pequeño rellano de la Senda del Torozo.,No,40.32122145739214,-5.0050982928885785
El Belesar,"Camino de la Garganta de Bohoyo, en la base de la última subida hasta la cumbre del Belesar. A 5 h del pueblo de Bohoyo.","Refugio de fortuna circular de piedra, con tejado a dos aguas, bajo y muy alejado, en zona de pradera a bastante altitud.",Si,40.26534236086085,-5.332892131957992
El Lanchón,"Por el camino de la Garganta de Bohoyo a 2,45 h. Zona de canchales al pie del camino en zona alta.","Refugio pequeño y bajo en la senda de la garganta de Bohoyo, tejado a un agua . Uso sólo en mal tiempo. Poco confortable.",Si,40.26891228501365,-5.371572143006547
La Longuilla,"Camino de la Garganta de Bohoyo en la zona alta de una amplia pradera, separado de la ruta unos 200 metros, próximo a la regadera alta. A 2 h del inicio.","Edificio grande con dos dependencias adosadas. Una parte con cuarto de leña, habitación grande con suelo de cemento. Buen refugio en caso de mal tiempo.",Si,40.274102289645356,-5.3953720922698665
La Redonda,"Camino de la Garganta de Bohoyo, después del refugio de La Secá a 50 minutos del inicio de ruta.","Caseta restaurada con tejado a dos aguas en el camino de la gargantra de Bohoyo, señalizada.",Si,40.27755226722316,-5.4154220386168275
La Secá,"Camino de la Garganta de Bohoyo, pasada la segunda portera en una pradera a la izquierda. A 35 minutos a pie, por camino entre bosques.","Caseta con tejado a dos aguas y pequeño corral de caballos a la entrada, en senda de la Garganta de Bohoyo.",Si,40.281432216258985,-5.422142042439429
Quemaculos,"Desde Navamediana por la garganta a 2,3 h.","En la garagnata de Navamediana, con suelo de cemento y cuarto de leña.",No,40.28639180391136,-5.36738479258528
Regero Llano,"Desde la plataforma de Gredos a 25 minutos, hacia la Laguna Grande, desviándose 300 m del camino hacia el lado Norte del Prado de Las Pozas. Otra forma de llegar es directamente desde la plataforma a 20 minutos, con dirección Oeste por una cuesta inclina","Edificio grande de piedra, alto, con tejado a dos aguas. En el lado sur del Prado Pozas, cercano a otros refugios.",No,40.27621115603988,-5.237305211801721
Casa de Requejo,"Carretera N-502 en el Puerto del Pico y pista forestal de Orzaduero, al oeste, a 1,2 km.",Casa de piedra con tejado a dos aguas y porche cubierto. En la pista del Colmenar con direcion a la torreteta de Horzaduero,No,40.32528257756746,-5.016952420386586
Llanos de Raigoso,"Desde la N- 502 en el km 47, al lado este por la entrada a la base de helicópteros.","Casa grande utilizada como base de helicópteros en campaña de incendios. Agua, luz, varias habitaciones, cocinas, servicios, depósito de combustible, base de helicópteros, servicios, taquillas.",No,40.331768279418846,-5.013030639161536
Casa,"Carretera N-502 en la Venta de Rasca, por un puente pequeño en la otra orilla de río Piquillo, a 200 m.","Edificio blanco con tejado a dos aguas, con un pequeño porche a la entrada y almacén semiderruido en la pared de atrás.",No,40.36777542971542,-5.014345816028654
Casa del Mayoral,"Carretera N-502 en la entrada a la base de helicopteros y por dentro de la finca a 1,5 km. También en la entrada a las Casas del Colmenar desde la N-502 y siguiendo la pista hasta el fondo de las praderas.","Edificio de piedra grande con porche de entrada, reparado recientemente.",No,40.343932560040955,-5.008102503657826
Refugio de Paz,"Desde la plataforma de Gredos a 25 minutos hacia la Laguna Grande, desviado 300 m del camino en el lado norte del Prado de Las Pozas. También se puede llegar directamente desde la plataforma, a 20 minutos, con dirección Oeste por una cuesta inclinada.",Edificio grande con tejado a dos aguas en el lado sur del Prado Pozas,No,40.275932210000136,-5.237113285534311
Victory,"Andando desde la plataforma del Nogal del Barranco por el camino del Carril de los Galayos, a 2,3 h.","Edificio austero de dos plantas y cubierta de hormigón con aislante blanco, situado en la base de los Galayos con impresionantes vistas.",No,40.25991252927045,-5.173302170683029
Antigua Piscifactoría,"Desde Navalperal hacia el río Tormes, pasado el puente a la izquierda por la pista que sale del Prado del Toro, a 30 metros.",Edificio con tejadillo a un agua. Utilizada como dependencia y almacén. Bancos de piedra exteriores en la antigua piscifactoria de Navalperal de Tormes.,No,40.348002370959016,-5.2880322571435014
Almacén del Colmenar,Carretera N -502 en la entrada del vivero forestal del Colmenar.,"Edificio grande rectangular, con cubierta de pizarra negra a dos aguas. Se utliza de almacen.",No,40.32805145885799,-5.108426496936961
Ganadero,"A 3,9 Km por pista de tierra desde el puerto de Umbrías (entre la Nava de barco y Umbrías)","Refugio con tejado a un agua, mesas y bancos en el exterior.",No,40.27955879439671,-5.5846684958513695
Las Mesilla,Desde Guisando por la pista al Hoyuelo y después por la de las Mesillas. Está al final de la pista forestal pasado el pilón de incendios.,"Caseta en un puesto de ganaderos de verano, cerca del arroyo, con tejado a una agua. Otras dos chozos de piornos para quesera y pienso para cabras, una tenada de cabras grande y ocupado por cabreros en verano, de junio a octubre",No,40.249152502521845,-5.148462200042371
