nombre,acceso,observaciones,señalizacion externa,web,latitud,longitud
Ermita Tablada,A pie,Campa junto a la Ermita,No,,42.725565770689514,-3.8406230959141916
Pesadas,Calle,"Pesadas, con fuente, lavadero y abrevadero",No,,42.76828200392224,-3.6179907055539156
Plaza Fuente Cadalso,Calle,Plaza de Dobro,No,,42.807932003144565,-3.6328783797941404
Valdelateja,Calle,Junto al rio,No,,42.77497044540748,-3.7686319653519837
Quintanilla Escalada,Carretera,Se accede en sentido Burgos,Si,,42.78893590682275,-3.7662004633332895
La Isla,Calle,1 mesa de pin-pon,No,,42.81071769664337,-3.777171395848175
Castroviejo,"Por la carretera SO-850 de Covaleda a Duruelo de la Sierra, a la entrada de Duruelo parte una pista asfaltada señalizada a mano derecha que tras finalizar continua por un camino a mano izquierda que tras 0,8 km conduce al me",Los contenedores son bidones.,No,,41.98765015199763,-2.920965422300459
Fuente el Berro,"Por la carretera SO-850 que va de Covaleda a Duruelo de la Sierra, a la entrada de Duruelo parte una pista forestal asfaltada a mano derecha que se¤aliza Castroviejo, y cuando finaliza esta se coge el camino de tierra que pa",Los contenedores son bidones.,No,,41.998278019400196,-2.92112131265672
Fuente Santiago,Pista forestal y senderos. Junto a MSTAP00001.,Los contenedores de basura del AP00001 dan servicio a esta área recreativa. Baños y máquina de agua junto a Casa del Parque dan servicio a esta área recreativa,Si,,42.94196107609055,-3.0012989158761996
Acebedo,Propio pueblo Acebedo,"En la senda GR.1/Columpio, pista polideportiva y zona verde aneja",No,,43.04129150753185,-5.117767686508593
Albergue de Maraña,Propio pueblo GR-1,En la senda GR.1,No,,43.04919536157053,-5.18366991407751
Arroyo Cea,Pista forestal GR-1,En la senda GR.1/Piscina en el rio,No,,43.03672941092046,-5.12296667276348
Besande,Pista forestal,En la senda GR.1,No,,42.89711636215117,-4.889567625307629
Boca de Huérgano,Carretera LE-215,En la senda PR.LE-33,No,,42.96758345964586,-4.923725395161116
Cofiñal,Salida pueblo Cofiñal,"En la senda PR.LE-27/Pista polideportiva, juego escalada, castillo infantil, columpio, balancín y tobogán",No,,43.035136861874165,-5.271006542258173
Collado de Pandetrave,Carretera LE-243,Fuente a 100m. Portón de madera entrada,No,,43.105290218525894,-4.876044765412731
El Praico,Carretera LE-332,En la senda PR.LE-26/Pasarela de madera. Recogida de basuras Ayto. Puebla de Lillo,No,,43.06212591879833,-5.351290713047139
Ermita del Pando,Pista forestal desde LE-234,En la senda PR.LE-53/Tiene 2 papeleras,Si,,42.9162662117856,-4.963361053916461
Ermita de San Juan,Carretera,Tiene 7 papeleras,No,,42.908145987976695,-5.159447015063653
Ermita Virgen de Quintanilla,Carretera N-620,Tiene 2 papeleras,Si,,42.95792405898167,-5.009388135730594
Ermita Virgen de las Nieves,Entrada pueblo Puebla de Lillo,Juegos infantiles,No,,43.004096233926646,-5.267755247476727
Ermita de Pedrosa del Rey,Carretera N-621,/Escalerillas de traviesas,No,,42.97009835238502,-4.972819886869097
Ermita de Pegarúas,Pista forestal PR-LE.28,En la senda PR.LE-28/Pasarela de madera,No,,43.00983331918894,-5.3115176590838225
Ermita de Pereda,Carretera local PR-LE.36,En la senda PR.LE-36,No,,42.90790812707458,-5.131670001102608
Ermita de Riosol,Pista asfaltada desde C-635,En la senda GR.1,Si,,43.074433746851774,-5.216137863823612
Horcadas,Entrada pueblo Horcadas,"En la senda PR.LE-25/Columpio, balancín y juego huellas",No,,42.940814799515614,-5.046909833066921
Lario,Propio pueblo Lario,En la senda PR.LE-31,No,,43.04064501556078,-5.092015536811798
Las Biescas,Pista forestal desde N-621,En la senda PR.LE-52/Acceso cortado embalse lleno,No,,42.969605042539264,-5.030224276091064
Liegos,Entrada pueblo Liegos,En la senda PR.LE-32/Columpio y balancin,No,,43.02647725007655,-5.076188636448615
Lodares,Carretera LE-331,La basura la recoge el Ayto. Boñar,No,,42.94356918910955,-5.25338644437861
Lois,Salida pueblo PR-LE.51,En la senda GR.1,No,,42.9819679282315,-5.145314053892139
Los Adiles,Pista forestal PR-LE.35,En la senda PR.LE-53,Si,,42.91158503787075,-4.970150632914585
Los Carbellares,Carretera C-635,En la senda PR.LE-20,No,,43.07304577022699,-5.1560722858671095
Los Casares,pista forestal Hormas,Esta dentro zona de reserva Hormas. Uso vecinal excluSívamente,No,,42.9966905369486,-4.973357689013905
Los Torcedos,Pista forestal PR-LE.29,En la senda PR.LE-29,No,,43.00999181040588,-5.225429568916856
Maraña Polideportivo,Propio pueblo Maraña,"En la senda GR.1/Columpio, balancín y juego de huellas",No,,43.04874626085339,-5.177384247097874
Mirador de Huelde,Carretera N-621,En la senda PR.LE-25,No,,42.94049096007879,-5.057410589404571
Mirador de Portilla,Pista forestal desde Portilla de la Reina,En la senda PR-LE-22/La fuente esta en la subida al área,Si,,43.042075175930584,-4.850458149962957
Mirva,Pista forestal desde C-635,En la senda PR.LE-21,Si,,43.02754026226814,-5.060033330106304
Pardomino,Pista forestal desde LE-331,Cerramiento parcial con bolardo,No,,42.91924992551014,-5.288071954448719
Polvoredo,Entrada pueblo Polvoredo,En la senda PR.LE-31,No,,43.05381601973955,-5.095988783382681
Portilla de la Reina,Pista forestal desde N-621,En la senda PR.LE-22,No,,43.041004609289125,-4.8475351902335575
Puerto de Picones,Pista forestal desde C-635,En la senda GR.1,No,,42.91877985032086,-4.866912985654868
Puerto del Pando,Carretera LE-234,Portón de madera entrada,No,,42.92839395782457,-4.9491462332878635
Redipollos,Propio pueblo Redipollos,"En la senda PR.LE-29/Pista polideportiva, juego escalada, tobogán y juego muelle",No,,43.003876529369116,-5.258745728197819
Reyero,Carretera local Reyero,"En la senda PR.LE-18/Columpio, bancín y juego huellas",No,,42.94983413684306,-5.20517528676269
San Glorio,Carretera N-621,En la senda PR.LE-24,No,,43.06679651084048,-4.766062927599164
Síero,Propio pueblo Síero de la Reina,En la senda PR.LE-54,No,,42.93645315735086,-4.896499103911774
Valcabrero,Pista forestal desde LE-331,La basura la recoge el Ayto. Boñar,Si,,42.91878780123985,-5.3019694434584554
Arbillas,"Carretera de Arenas a Candeleda Km 16, desvío indicado a la derecha y 3,4 km de pista asfaltada.",Cerramiento de barbacoas con muro de piedra,No,,40.185693272222146,-5.146695083878983
Fuente Arrontejo,"Desde la C-501 de Arenas a Candeleda, Km 7,8  siguiendo los indicadores a 1,5 km por la carretera forestal de Arbillas, en coche","En un pilón contraincendios pequeño y con solo una mesa de piedra,acera de piedra",No,,40.19388700632805,-5.135675048867145
Piscina natural Arenas de San Pedro,"Carretera de Arenas de San Pedro a El Hornillo. A 1,2 Km de Arenas de san Pedro.","Zona de baño de Arenas en el río Arenal. Con sombras, bar y vestuarios.",No,,40.21667257587061,-5.095822213490059
Rio Abillas,"Carretera de Arenas a Candeleda Km 6, a ambos lados de la carretera y antes del puente","Zona muy frecuentada, salto de agua por debajo de la carretera y quiosco de verano",No,,40.18260088888138,-5.146444779695673
Río Pelayo,"Por la carretera C-501 de Arenas de San Pedro en dirección a Poyales del Hoyo, en el pk 3,4 junto a la carretera y río Pelayos",Cerramiento de barbacoas con muro de piedra.Bar. Aparcamientos grandes. Zona de baño en el río Pelayos. Pilón contra incendios. Setos y vallados de madera. Cartel indicador de Area Recreativa y de coto de pesca.,No,,40.20180205219975,-5.113396102998886
Charco Carreras,"Casco urbano de Candeleda por arriba del puente sobre la garganta de Santa María, señalizado.","Aparcamientos en zona de sombra , con varios establecimientos de bares y merenderos.Tiene zona de baño sobre la garganta de Santa Maria, desde Candeleda se llega andando en 5 minutos",Si,,40.164182466877136,-5.2436719997707915
Los Riveros,"Carretera del Raso, despues de la garganta de Chilla, a 2,5 kilómetros del cruce con la C-501.Por la carretera C.501 de Candeleda hacia Madrigal de la Vera, en el pk 24,9 se toma a la derecha un desvío que señaliza el área y se dirige a El Raso y tras 2,","Zona verde, Kiosco de verano , seto de cipreses. Zona de baño en la Garganta de Chilla con tablones en un muro artificial de 15 m de largo. En la otra orilla con sombra, en la entrada al Campamento juvenil San francisco de Asís. Bar, restaurante.",Si,,40.15985203578306,-5.309758761197455
El Plantío,Se llega desde el pueblo de Cuevas por una cuesta inclinada indicada en la carretera nacional.,"Quiosco de verano, servicio de vestuarios. Dos zonas de aparcamientos, a la subida y dentro de la zona deportivas.",No,,40.289672638993956,-5.008212401049572
Fuente de Las Majadas,En la carretera de Mombeltran a El Arenal.,"Pilón de incendios. Árboles plantados, sin aparcamiento. En el Rodal 23.",No,,40.25453159824262,-5.060935211831733
Pino Gordo,"Carretera desde El Arenal al Puerto del Pico. A 3,5 km. del pueblo","Situada en la pista de La Centenera, en monte público.",No,,40.287932532306165,-5.07721236015223
La Francisca,"Por la pista forestal asfaltada y señalizada "" Charco Verde"" que parte a 0,4 km de El Hornillo, a la izquierda, a la altura del puente la Francisca sobre el río de Los Cantos.",Refugio cerrado. Pilon de incendios. Parrillas cerradas con muro de piedra. Señalización de Area Recreativa. Arboles grandes de pinus nigra y nogal.,Si,,40.25843997735136,-5.1304295408091045
La Lancha del Rey o La Cebedilla,"Por la pista forestal asfaltada "" Charco Verde"" que parte a 0,4 km de El Hornillo. Próxima al refugio de La Lancha del Rey.",Cerraniento de parrillas con muro de piedra. Refugio de la La Lancha del Rey cercano. Señalizacion de area recreativa.,Si,,40.26621250301198,-5.123412308350774
Las Escarilluelas,"Por la pista forestal asfaltada y señalizada  ""Charco Verde"" que parte a 0,4 km de El Hornillo.","Muy pequeña, a la salida del Hornillo. Pilon contra incendios",Si,,40.24879518983095,-5.110502001284957
Los Chorlitos,"Por la pista forestal asfaltada y señalizada ""Charco Verde"" que parte a 0,4 km de El Hornillo; a 4,9 km se toma un desvío a la izquierda y tras 0,7 km se toma a la izquierda un desvío en dirección al refugio de Domingo Fernando y a 200 antes de la plataf","Muy pequeña, a la entrada de Domingo Fernando. Tiene un pilon contra incendios",No,,40.26192946069617,-5.134545276099594
El Risquillo,"En el pueblo de Guisando. Desde Guisando, cruzado el puente sobre el río Pelayos y el primer desvio a la derecha",Cerramiento de barbacoas con muro de piedra. Plaza de toros cercana. Casco urbano de Guisando. Bar restaurante con terraza con vistas. Juegos de niños. Parque de aventuras de árboles cercana. Casa del Parque del Risquillo.,No,,40.221303834796544,-5.142867989959806
Fuente del Poyal,"Por la pista forestal asfaltada ""Portezuelo"" que une Guisando con la carretera C-501 y que parte a la altura del camping Los Galayos, a la izquierda.","En la carretera de Guisando a Poyales, salendo desde el fogon de Gredos, despues de la fuente del Valle( comprobar en la ubicación)",No,,40.20920378161755,-5.142841438456508
Fuente del Valle,Desde Guisando por la carretera a la torre de la Sillita,Cerramiento de barbacoas con muro de piedra,Si,,40.21378876035837,-5.14288921348828
Nogal del Barranco,"Pista forestal asfaltada del Nogal de Barranco, en Guisando. A 4,7 Km. del pueblo de Guisando.",Árbol catalogado. Cabañas de pastores restauradas cercanas.Aparacamientos. Inicio de sendas. Kiosco. Agua frecuente.,Si,,40.234194945888255,-5.16259162990514
Puente del Duque,"Por la carretera a la Plataforma de Gredos, a 1,6 km a la altura del puente del Duque sobre el río Tormes.","Zona muy cercana al Camping Gredos, con zona de descanso grande, entre pinos, con el rio Tormes cercano y piscina natural. Señalizacion de parque y del propio Area recreativa. Pasa en GR-10. Zona cercana a campamentos de verano",Si,,40.338767976365794,-5.1742366400911495
La Carrera,"Por la carretera N-110 y en la entrada a el pueblo de La Carrera, por una pista con direccion al rio. Despues de 0,6 km se llega al puente.",Próxima al puente del río Aravalle,Si,,40.341800841880136,-5.54713780372407
Chinas Blancas,"Por la carretera de Mombeltrán hacia El Arenal, a la izquierda junto a la carretera.","En la carretera que une Mombeltran con El Arenal, con una",No,,40.25533970045144,-5.0496363531966555
Playas Blancas,Carretera de Mombeltrán a Ramacastañas. Desviarse por la pista forestal hacia el campamento de Playas Blancas,"Quiosco, pilón contra incendios, zona de baño en el río por medio de una represa.",Si,,40.220217485573485,-5.034113745535804
Pozos de Felipe,Carretera de Mombeltrán a Ramacastañas. Entre la garganta de los Pozos y Río Puerto.,Represa en el arroyo de la Garganta de los pozos. Zona de mesas y parrillas ocupan 1/2 Ha entre el río y la pista forestal a La Amoclón.,No,,40.21680266501137,-5.035142272835633
El Berrocal,"Por la carretera de Navalonguilla hacia Navalguijo, a la altura del puente sobre La Garganta de los Caballeros.",Zona de baño cercana. Bar en verano. Amplios aparcamientos. Señalizacion del Parque.,Si,,40.26829068637375,-5.515738885102318
Prado del Toro,"Por la pista forestal asfaltada de Navalperal de Tormes al río Tormes. Cruzado el puente sobre el río Tormes o siguiendo el GR-10, a la altura del puente sobre el río Tormes en Navalperal.","Posibilidad de mejorar, muy cerca del rio Tormes. Inicio de senda de cinco lagunas",Si,,40.34786580791369,-5.2899794377960445
Tamborrios,Desde Navarredonda de Gredos con dirección a Valdeascas o el rio Tormes pasado el camping y el primer puentecillo sobre el Tormes,"Entre dos brazos del rio Tormes. Amplio y llano, cercano a campamentos de verano.",Si,,40.33806549348987,-5.130174277525647
Ermita de San Andrés,En la carretera de San Esteban a Santa Cruz. Zona próxima al pueblo.,"Con zona verde, sombra de olmos y seto de cipreses. Mirador al pueblo y al barranco de las Cinco Villas.",No,,40.26646794454306,-4.984807968766163
Fuente de los Morenos.,En un ensanche de la carretera AV-913 en la subida al puerto de Serranillos.,Fuente con tres caños.,No,,40.30706267177708,-4.953132430969144
Pozo de las Paredes,"Desde Navacepeda de Tormes, cruzado el río Tormes y por la carretera de Barbellido. Desde el camino de la Plataforma, en el Km 7 antes del puente de Las juntas, camino de Barbellido.",Arbolado. Con bar. Entrada de puertas de madera. Señalizado. Zona natural de baño: Puente medieval de un solo ojo. Q Calidad.,Si,,40.345678002330054,-5.249897942503722
La Aliseda,"Por la carretera C-500 de La Aliseda de Tormes a Navalperal de Tormes, a 1,7 km en el pk 38,6 parte una pista a la derecha que tras 0,1 km conduce al merendero.",Pequeña zona de merendero al lado de una regadera del rio Tormes,No,,40.33120943736371,-5.379224662915004
Monumento al pastor,En casco urbano del Tremedal.,"Explanada con arboles, antiguas eras de trillar, fuente y zona de recreo.",No,,40.3520220381356,-5.621661980176838
Umbrías,Desde el pueblo de Umbrias por la carretera que conduce a la Vega del Escobar a unos 200 metros a la salida del pueblo en el puente sobre el rio Aravalle,Amplia zona con canchas deportivas. Pasa en GR-10,Si,,40.3171381062301,-5.582274070671664
La Cantera de Villarejo,"Carretera de Cuevas del Valle a Villarejo, a escasos metros del pueblo.","Señal del Parque con plano e información municipal, en un mirador al pueblo de Villarejo.",Si,,40.28599237617545,-5.003199219619741
Los Rozos,"Por la pista cementada que parte de Villarejo del Valle y sube hacia el monte, a 0,9 km una vez se termina, se toma a la derecha un desvío por una pista de tierra que tras 0,9 km conduce al area recreativa.","Pista de tierra para llegar hasta allí. Zona muy amplia con buenas vistas a los Riscos de Villarejo.
Mesas y bancos de piedra",No,,40.29932995897015,-4.996962863202991
Puerto del Pico,Por la carretera N-502 a la altura del puerto el Pico.,"Una zona apartada de la carretera, en subida por una escalera de piedra y barandilla de piedra y completamente abandonada. Ya en desuso.",Si,,40.32189104449531,-5.013339731293605
La Puente,Por la carretera de Hoyos del Espino a Barco de Avila en la bajada al rio Tormes cerca del cruce con Zapardiel de la Rivera,Nueva zona cercana al rio Tormes...Puente nuevo sobre el Tormes.,Si,,40.34205002671079,-5.3248035283339314
